t,y
31.91,44.05
31.94,43.7
31.97,44.21
32.01,44.2
32.04,44.5
32.07,44.42
32.11,44.6
32.14,44.89
32.17,44.37
32.2,44.48
32.24,41.96
32.27,39.5
32.31,39.5
32.34,42
32.37,43.62
32.4,44.59
32.44,45
32.47,45.46
32.51,45.02
32.54,43.53
32.57,42.06
32.61,42.57
32.64,44.03
32.67,44.5
32.7,45.71
32.74,45.39
32.77,46.19
32.81,45.9
32.84,45.5
32.87,47.06
32.9,47.06
32.94,47
32.97,47.43
33.01,47
33.04,46.7
33.07,48.03
33.11,47.85
33.14,47.19
33.17,47
33.21,47.41
33.24,48.16
33.27,47.77
33.31,47.63
33.34,47.28
33.37,48.16
33.4,48
33.44,48.54
33.47,47.48
33.51,48.01
33.54,48.52
33.57,48.18
33.61,48
33.64,47.88
33.67,48
33.71,48.2
33.74,48
33.77,47.93
33.8,48.38
33.84,47.71
33.87,48.76
33.91,49.12
33.94,49.01
33.97,49.31
34.01,48.37
34.04,49.71
34.07,49.23
34.11,49.65
34.14,49.5
34.17,49.63
34.21,49.61
34.24,49.83
34.27,49.9
34.31,50.77
34.34,50.14
34.37,50.75
34.41,50.08
34.44,48.5
34.47,23
34.5,-1
34.54,-1
34.57,16.5
34.61,44.5
34.64,50
34.67,49.94
34.7,50.5
34.74,51.73
34.77,51.76
34.8,51.39
34.84,51.56
34.87,51.84
34.91,51.69
34.94,51.5
34.97,52.3
35,53.01
35.03,52
35.07,52.02
35.1,53
35.14,53
35.17,52.5
35.21,52.45
35.24,52.5
35.27,53.49
35.31,53
35.34,52.5
35.37,53.5
35.41,53.22
35.44,53.04
35.47,53.16
35.5,53.24
35.54,52.5
35.57,52.4
35.61,52.36
35.64,51.5
35.67,52
35.71,51.81
35.74,51.53
35.77,50.93
35.8,51.5
35.84,52.15
35.87,51.18
35.9,52.54
35.94,53
35.97,52.5
36,53
36.04,53.33
36.07,53
36.1,53
36.14,52.91
36.17,53.3
36.2,53
36.24,53.22
36.27,53.18
36.31,53.5
36.34,53.31
36.37,54
36.41,54.31
36.44,54.3
36.47,53.71
36.51,54.29
36.54,54.19
36.57,54.23
36.61,54.21
36.64,53.5
36.67,53.73
36.71,53.65
36.74,53.6
36.77,53.95
36.81,53
36.84,53.49
36.87,53.36
36.9,53.89
36.94,53.15
36.97,52.95
37.01,53.79
37.04,53.5
37.07,53.43
37.11,53.5
37.14,53.5
37.17,54.09
37.2,54.55
37.24,54.14
37.27,53.99
37.31,54.33
37.34,54.15
37.37,54.4
37.4,54.62
37.44,54.68
37.47,54.21
37.51,54.37
37.54,54.39
37.57,54.52
37.61,54.92
37.64,54.9
37.67,54.66
37.71,54.55
37.74,54.62
37.77,54.8
37.81,54.95
37.84,55
37.87,54.97
37.9,54.88
37.93,55.1
37.97,55.11
38,54
38.04,54.1
38.07,54.24
38.11,55.25
38.14,55.05
38.17,54.5
38.21,54.83
38.24,54.37
38.27,54.26
38.3,53.97
38.34,53
38.37,53.46
38.4,52.35
38.43,52.54
38.47,54.01
38.5,54
38.54,54.22
38.57,53.16
38.61,53.5
38.64,53.9
38.67,53.58
38.71,54.28
38.74,53.5
38.77,53.62
38.81,53.9
38.84,53.92
38.87,54.5
38.91,54.56
38.94,55.61
38.97,55.61
39.01,55.49
39.04,55.47
39.07,55.81
39.11,56.06
39.14,55.63
39.17,55.57
39.2,55.38
39.24,55.17
39.27,55.78
39.31,55.41
39.34,56.1
39.37,56.05
39.4,55.55
39.44,55.33
39.47,55.89
39.51,55.13
